"Current path","Type","Decision","Destination","Original remains here","Dependencies","Required changes for export/copy","History strategy","Reason","Priority"
"requirements.txt","dependency file","KEEP","ds-projects-portfolio","yes","full stack","Use only as evidence for smaller export deps","KEEP_CURRENT_HISTORY","Root portfolio still needs broad environment today","HIGH"
"requirements-core.txt","dependency file","KEEP","ds-projects-portfolio","yes","core stack","Use as evidence for exports","KEEP_CURRENT_HISTORY","Do not delete in planning phase","MEDIUM"
"requirements-dev.txt","dependency file","KEEP","ds-projects-portfolio","yes","dev stack","Use as evidence for exports","KEEP_CURRENT_HISTORY","Do not delete in planning phase","MEDIUM"
"requirements-test.txt","dependency file","KEEP","ds-projects-portfolio","yes","test stack","Use as evidence for exports","KEEP_CURRENT_HISTORY","Root tests still live here","MEDIUM"
"requirements-notebook-healthcare-shap.txt","dependency file","KEEP","ds-projects-portfolio","yes","healthcare notebook","Keep with healthcare notebook unless notebook is copied","KEEP_CURRENT_HISTORY","Notebook-specific dependency file","LOW"
".gitignore","tooling","KEEP","ds-projects-portfolio","yes","repo artifact patterns","May refine later; copy tailored ignore to exports","KEEP_CURRENT_HISTORY","Useful root config","HIGH"
".pre-commit-config.yaml","tooling","KEEP","ds-projects-portfolio","yes","dev hooks","Copy template to exports if useful","KEEP_CURRENT_HISTORY","Root dev tooling remains","MEDIUM"
"Makefile","tooling","KEEP","ds-projects-portfolio","yes","root tests/docs","Review only after root workflows change","KEEP_CURRENT_HISTORY","Root commands still describe current repo","MEDIUM"
"Dockerfile","deployment","ARCHIVE","archive / reference","yes","root package/deps","Do not promote; copy only if a destination explicitly needs it","KEEP_CURRENT_HISTORY","Generic monorepo container","LOW"
"docker-compose.yml","deployment","ARCHIVE","archive / reference","yes","root services","Do not promote; copy only if a destination explicitly needs it","KEEP_CURRENT_HISTORY","Generic monorepo infrastructure","LOW"
"src/statistics","python package","EXPORT_COPY","experimentation-toolkit","yes","src.data_processing; tests/unit; tests/regression","Rename namespace, define public API, add focused pyproject/tests","FRESH_SNAPSHOT","Strong reusable experimentation/statistics primitives","HIGH"
"src/data_processing","python package","EXPORT_COPY","experimentation-toolkit","yes","src.statistics; tests; examples","Copy only cleaning/validation functions needed by toolkit","FRESH_SNAPSHOT","Useful experimentation support code","HIGH"
"src/vizualization","python package","EXPORT_COPY","experimentation-toolkit","yes","statistics/examples","Fix spelling if copied; keep only experiment reporting plots","FRESH_SNAPSHOT","Potential toolkit visualization support","LOW"
"src/genai","python package","EXPORT_COPY","genai-rag-engineering","yes","GenAI notebooks; artifacts/genai","Rename namespace, add offline tests and focused service/demo","FRESH_SNAPSHOT","Coherent RAG/LLM engineering component","HIGH"
"src/modern_bank_churn","python package","EXPORT_COPY","customer-analytics","yes","churn project notebooks","Rewrite imports if copied","FRESH_SNAPSHOT","Customer/churn domain code, but original stays","MEDIUM"
"src/feature_engineering","python package","EXPORT_COPY","customer-analytics","yes","projects/feature_engineering; notebooks","Copy selected customer/insurance pieces; avoid duplicated wrappers","FRESH_SNAPSHOT","Supports customer/insurance portfolio work","MEDIUM"
"src/api","python module","ARCHIVE","archive / reference","yes","deployment/model_server; integration tests","Copy only if a maintained service repo is approved","KEEP_CURRENT_HISTORY","Generic ML API not core portfolio project","LOW"
"src/cloud","python module","ARCHIVE","archive / reference","yes","cloud SDKs; integration tests","Do not export by default","KEEP_CURRENT_HISTORY","Infrastructure demo/reference","LOW"
"src/security","python module","ARCHIVE","archive / reference","yes","security deps/docs","Do not export by default","KEEP_CURRENT_HISTORY","Infrastructure demo/reference","LOW"
"src/privacy","python module","ARCHIVE","archive / reference","yes","privacy/fairness deps","Do not export by default","KEEP_CURRENT_HISTORY","Infrastructure demo/reference","LOW"
"src/compliance","python module","ARCHIVE","archive / reference","yes","compliance deps","Do not export by default","KEEP_CURRENT_HISTORY","Infrastructure demo/reference","LOW"
"src/automl","python module","ARCHIVE","archive / reference","yes","AutoML deps","Do not export by default","KEEP_CURRENT_HISTORY","Infrastructure demo/reference","LOW"
"src/scalability","python module","ARCHIVE","archive / reference","yes","distributed/streaming deps","Do not export by default","KEEP_CURRENT_HISTORY","Infrastructure demo/reference","LOW"
"src/data_quality","python module","KEEP","ds-projects-portfolio","yes","data_preprocessing; data_profiling; docs","May later organize as lab/reference; no export yet","KEEP_CURRENT_HISTORY","Useful portfolio reference but not focused export","LOW"
"src/data_preprocessing","python module","KEEP","ds-projects-portfolio","yes","src.utils.logging_utils; data_quality","May later organize as lab/reference; no export yet","KEEP_CURRENT_HISTORY","Generic portfolio support/reference","LOW"
"src/data_profiling","python module","KEEP","ds-projects-portfolio","yes","data_quality docs","May later organize as lab/reference; no export yet","KEEP_CURRENT_HISTORY","Generic portfolio support/reference","LOW"
"src/time_series","python package","KEEP","ds-projects-portfolio","yes","projects/time_series","Copy only if a focused time-series repo is approved","KEEP_CURRENT_HISTORY","Portfolio project support","LOW"
"src/utils","python module","KEEP","ds-projects-portfolio","yes","many modules/tests","Copy only minimal required slices with exports","KEEP_CURRENT_HISTORY","Shared root support code","MEDIUM"
"src/models","python module","KEEP","ds-projects-portfolio","yes","torch tests/demos","Keep as portfolio demo source","KEEP_CURRENT_HISTORY","Example model code","LOW"
"src/web","frontend asset","KEEP","ds-projects-portfolio","yes","dashboard demos","Keep unless dashboard repo is created","KEEP_CURRENT_HISTORY","Portfolio dashboard support","LOW"
"projects/portugal_gdp_bayesian_revision","project","EXPORT_COPY","standalone-project-copy","yes","project src/tests/notebook","Copy to standalone repo; keep original here","FRESH_SNAPSHOT","Strong portfolio project and GitHub-pinnable snapshot","HIGH"
"projects/porto_lisbon_uhi_exposure","project","EXPORT_COPY","standalone-project-copy","yes","project src/tests/notebook/geospatial deps","Copy to standalone repo; keep original here","FRESH_SNAPSHOT","Strong portfolio project and GitHub-pinnable snapshot","HIGH"
"projects/city_wage_cost_global","project","EXPORT_COPY","standalone-project-copy","yes","notebooks/requirements","Copy to standalone repo; keep original here","FRESH_SNAPSHOT","Strong notebook project","HIGH"
"projects/pt_salary_gamma_distribution","project","EXPORT_COPY","standalone-project-copy","yes","project src/tests/notebook","Copy to standalone repo; keep original here","FRESH_SNAPSHOT","Strong portfolio project and GitHub-pinnable snapshot","HIGH"
"projects/ab_testing","project/notebooks","KEEP","ds-projects-portfolio","yes","src.statistics; scripts","Copy selected APIs/examples into experimentation toolkit, but keep notebooks here","KEEP_CURRENT_HISTORY","Active portfolio project collection","HIGH"
"projects/statistical_methods","python project","KEEP","ds-projects-portfolio","yes","statistics concepts/tests","Copy selected pieces to experimentation toolkit only after curation","KEEP_CURRENT_HISTORY","Active portfolio/reference methods","MEDIUM"
"projects/streamlit_apps","apps","KEEP","ds-projects-portfolio","yes","src.statistics.core","Keep here; optional copy after vendoring/dependency cleanup","KEEP_CURRENT_HISTORY","Portfolio apps","MEDIUM"
"projects/churn_prediction","project/notebooks","KEEP","ds-projects-portfolio","yes","src/modern_bank_churn optional","Optional copy into customer analytics; keep here","KEEP_CURRENT_HISTORY","Active portfolio customer analytics","MEDIUM"
"projects/advanced_customer_segmentation","project","KEEP","ds-projects-portfolio","yes","project tests; dashboard","Optional copy into customer analytics; keep here","KEEP_CURRENT_HISTORY","Active portfolio customer analytics","MEDIUM"
"projects/customer_segmentation","project","KEEP","ds-projects-portfolio","yes","basic segmentation scripts","Keep here; may consolidate presentation later","KEEP_CURRENT_HISTORY","Active portfolio demo","LOW"
"projects/dashboard_enhanced","app/framework","KEEP","ds-projects-portfolio","yes","dashboard deps/tests","Keep here unless app repo is approved","KEEP_CURRENT_HISTORY","Portfolio app/demo","LOW"
"projects/deep_learning","notebook collection","KEEP","ds-projects-portfolio","yes","notebooks/utils","Keep as portfolio project collection","KEEP_CURRENT_HISTORY","Educational/portfolio content","LOW"
"projects/nlp","notebook collection","KEEP","ds-projects-portfolio","yes","notebooks/utils","Keep as portfolio project collection","KEEP_CURRENT_HISTORY","Educational/portfolio content","LOW"
"projects/feature_engineering","project/demo","KEEP","ds-projects-portfolio","yes","src.feature_engineering","Keep as feature-engineering demo","KEEP_CURRENT_HISTORY","Portfolio demo around source library","LOW"
"projects/performance_optimization","toolkit/demo","ARCHIVE","archive / reference","yes","stale paths; benchmark output","Do not promote; curate only if future tooling repo approved","KEEP_CURRENT_HISTORY","Broad/stale optimization reference","LOW"
"projects/time_series","notebook collection","KEEP","ds-projects-portfolio","yes","src/time_series","Keep as portfolio project collection","KEEP_CURRENT_HISTORY","Active portfolio collection","LOW"
"projects/machine_learning","thin demos","KEEP","ds-projects-portfolio","yes","synthetic examples","Keep as portfolio demos","KEEP_CURRENT_HISTORY","Portfolio examples","LOW"
"projects/causal_inference","thin demo","KEEP","ds-projects-portfolio","yes","none","Keep as causal inference demo","KEEP_CURRENT_HISTORY","Portfolio example","LOW"
"projects/excessive_drinking_map_reproduction","notebook project","KEEP","ds-projects-portfolio","yes","large notebook; requirements","Strip outputs only with approval","KEEP_CURRENT_HISTORY","Portfolio public-health/geospatial notebook","MEDIUM"
"projects/oecd_obesity_analysis_notebook","notebook project","KEEP","ds-projects-portfolio","yes","requirements","Keep as portfolio notebook","KEEP_CURRENT_HISTORY","Portfolio public-health notebook","LOW"
"projects/portugal_gdp_income_distribution","notebook project","KEEP","ds-projects-portfolio","yes","requirements","Keep as Portugal economics notebook","KEEP_CURRENT_HISTORY","Portfolio analysis","LOW"
"projects/portuguese_emigration_crises_labour_law","notebook project","KEEP","ds-projects-portfolio","yes","requirements","Keep as Portugal socioeconomic notebook","KEEP_CURRENT_HISTORY","Portfolio analysis","LOW"
"notebooks/genai_rag_pipeline.ipynb","notebook","EXPORT_COPY","genai-rag-engineering","yes","src/genai","Rewrite imports in copy only","FRESH_SNAPSHOT","Core RAG narrative, keep original here","HIGH"
"notebooks/llm_rag_evaluation.ipynb","notebook","EXPORT_COPY","genai-rag-engineering","yes","src/genai","Rewrite imports in copy only","FRESH_SNAPSHOT","Core RAG eval narrative, keep original here","HIGH"
"notebooks/genai_service_delivery.ipynb","notebook","EXPORT_COPY","genai-rag-engineering","yes","src/genai","Rewrite imports in copy only","FRESH_SNAPSHOT","Core RAG service narrative, keep original here","HIGH"
"notebooks/genai_dataops_vector_platform.ipynb","notebook","EXPORT_COPY","genai-rag-engineering","yes","src/genai; artifacts/genai","Rewrite imports in copy only; regenerate artifacts","FRESH_SNAPSHOT","Core vector platform narrative, keep original here","HIGH"
"notebooks/*.ipynb","notebook collection","KEEP","ds-projects-portfolio","yes","various project deps","Organize README/catalog later; no default export","KEEP_CURRENT_HISTORY","Top-level notebooks are portfolio surface","HIGH"
"notebooks/README.md","documentation","KEEP","ds-projects-portfolio","yes","notebook catalog","Update later if notebook catalog changes","KEEP_CURRENT_HISTORY","Portfolio notebook catalog","MEDIUM"
"tutorials","notebooks","KEEP","ds-projects-portfolio","yes","tutorial tooling","Keep as educational portfolio material","KEEP_CURRENT_HISTORY","Portfolio tutorials","LOW"
"examples/run_demo.py","example","KEEP","ds-projects-portfolio","yes","src.statistics; src.data_processing","Copy adapted version to experimentation toolkit if useful","KEEP_CURRENT_HISTORY","Root portfolio demo","MEDIUM"
"examples/moe_multimodal_demo.py","example","KEEP","ds-projects-portfolio","yes","src.statistics.moe","Keep here; copy only if MoE enters toolkit","KEEP_CURRENT_HISTORY","Portfolio example","LOW"
"examples/inference_service_api_usage.py","example","ARCHIVE","archive / reference","yes","src.api","Do not promote unless API repo is approved","KEEP_CURRENT_HISTORY","Generic API example","LOW"
"examples/eda_end_to_end.ipynb","notebook","KEEP","ds-projects-portfolio","yes","credit-risk artifacts","Keep as portfolio EDA example","KEEP_CURRENT_HISTORY","Featured demo notebook","LOW"
"examples/eda_end_to_end_executed.ipynb","notebook output","DELETE_GENERATED","generated cleanup","yes until approved","generated outputs","Remove only with explicit cleanup approval","NO_HISTORY","Executed duplicate likely generated","LOW"
"tests/unit","tests","KEEP","ds-projects-portfolio","yes","src.statistics; src.data_processing; src.models","Copy relevant tests into exports","KEEP_CURRENT_HISTORY","Root tests still needed","HIGH"
"tests/regression","tests","KEEP","ds-projects-portfolio","yes","src.statistics; src.data_processing","Copy relevant tests into toolkit","KEEP_CURRENT_HISTORY","Root regression coverage","HIGH"
"tests/integration","tests","KEEP","ds-projects-portfolio","yes","src.api; src.cloud; dashboard; time_series","Copy only relevant tests into exports","KEEP_CURRENT_HISTORY","Root integration coverage","MEDIUM"
"tests/benchmarks","tests","KEEP","ds-projects-portfolio","yes","src.statistics; src.data_processing","Keep; copy only if benchmark suite is curated","KEEP_CURRENT_HISTORY","Root benchmark coverage","LOW"
"tests/performance","tests","KEEP","ds-projects-portfolio","yes","dashboard_enhanced","Keep with dashboard demo","KEEP_CURRENT_HISTORY","Portfolio performance tests","LOW"
"tests/notebook_tests","test tooling","KEEP","ds-projects-portfolio","yes","notebook validation scripts","Keep for root notebook portfolio","KEEP_CURRENT_HISTORY","Notebook CI support","MEDIUM"
"tests/data","tests","KEEP","ds-projects-portfolio","yes","src.data_quality","Keep with data-quality source","KEEP_CURRENT_HISTORY","Root data-quality tests","LOW"
"tests/utils","tests","KEEP","ds-projects-portfolio","yes","src.utils.observability","Keep with root utils","KEEP_CURRENT_HISTORY","Root utility tests","LOW"
"deployment/model_server","deployment","ARCHIVE","archive / reference","yes","src/api; service deps","Copy only if maintained service repo approved","KEEP_CURRENT_HISTORY","Generic model-serving infra","LOW"
"deployment/docker","deployment","ARCHIVE","archive / reference","yes","root ML API/dashboard/AutoML stack","Do not promote","KEEP_CURRENT_HISTORY","Generic monorepo infra","LOW"
"deployment/docker-compose.yml","deployment","ARCHIVE","archive / reference","yes","root services","Do not promote","KEEP_CURRENT_HISTORY","Generic monorepo infra","LOW"
"scripts/analyze_experiment.py","script","EXPORT_COPY","experimentation-toolkit","yes","src.statistics; src.data_processing","Copy/adapt only if CLI remains focused","FRESH_SNAPSHOT","Potential toolkit CLI/example","MEDIUM"
"scripts/advanced_experimentation_platform.py","script","ARCHIVE","archive / reference","yes","broad experimentation code","Mine ideas manually only","KEEP_CURRENT_HISTORY","Too broad for focused toolkit copy","LOW"
"scripts/generate_regression_baselines.py","script","EXPORT_COPY","experimentation-toolkit","yes","src.statistics","Copy if regression snapshots are included","FRESH_SNAPSHOT","Supports toolkit tests","MEDIUM"
"scripts/run_notebook_tests.py","script","KEEP","ds-projects-portfolio","yes","tests/notebook_tests","Keep for root notebook portfolio","KEEP_CURRENT_HISTORY","Root notebook validation","MEDIUM"
"scripts/run_tests.py","script","KEEP","ds-projects-portfolio","yes","root test config","Keep unless test workflow replaced","KEEP_CURRENT_HISTORY","Root helper","LOW"
"scripts/generate_benchmark_report.py","script","ARCHIVE","archive / reference","yes","benchmarks/artifacts","Do not promote by default","KEEP_CURRENT_HISTORY","Monorepo benchmark helper","LOW"
"scripts/download_sample_dataset.py","script","KEEP","ds-projects-portfolio","yes","notebook examples","Keep if labs/notebooks use it","KEEP_CURRENT_HISTORY","Dataset helper","LOW"
"scripts/fix_notebook_issues.py","script","ARCHIVE","archive / reference","yes","stale paths","Do not promote","KEEP_CURRENT_HISTORY","Old remediation helper","LOW"
"tools/check_docstring_coverage.py","tooling","KEEP","ds-projects-portfolio","yes","docs/src paths","Keep or archive after docs cleanup","KEEP_CURRENT_HISTORY","Root quality helper","LOW"
"tools/todo_inbox.py","tooling","KEEP","ds-projects-portfolio","yes","todo workflow","Keep unless TODO workflow retired","KEEP_CURRENT_HISTORY","Root tool","LOW"
"docs","documentation","KEEP","ds-projects-portfolio","yes","portfolio/source docs","Update gradually; copy relevant docs to exports","KEEP_CURRENT_HISTORY","Portfolio docs stay","HIGH"
"docs/DATA_QUALITY.md","documentation","KEEP","ds-projects-portfolio","yes","src.data_quality/profiling/preprocessing","Keep with root data quality docs","KEEP_CURRENT_HISTORY","Portfolio docs","LOW"
"config","configuration","KEEP","ds-projects-portfolio","yes","generic pipeline config","Keep unless confirmed unused","KEEP_CURRENT_HISTORY","Root config examples","LOW"
".github/workflows/ci.yml","ci","KEEP","ds-projects-portfolio","yes","root tests/src/docs","Revise only after root policy agreed","KEEP_CURRENT_HISTORY","Root CI remains","HIGH"
".github/workflows/advanced_customer_segmentation.yml","ci","KEEP","ds-projects-portfolio","yes","project tests","Keep until customer analytics copy exists","KEEP_CURRENT_HISTORY","Project-specific CI","MEDIUM"
".github/workflows/notebook-tests.yml","ci","KEEP","ds-projects-portfolio","yes","notebook tests","Fix stale paths later; no deletion","KEEP_CURRENT_HISTORY","Notebook portfolio CI","MEDIUM"
".github/workflows/codeql-analysis.yml","ci","KEEP","ds-projects-portfolio","yes","security/dependency review","May recreate per export; keep root copy","KEEP_CURRENT_HISTORY","Root security CI","LOW"
".github/workflows/dependency-update.yml","ci","KEEP","ds-projects-portfolio","yes","dependency files","Repair or disable only in a later explicit CI cleanup; do not export","KEEP_CURRENT_HISTORY","Root dependency automation is stale but remains a portfolio-repo concern","LOW"
".github/workflows/release.yml","ci","KEEP","ds-projects-portfolio","yes","root package release","Repair only after root package/release policy is agreed; do not export","KEEP_CURRENT_HISTORY","Manual root release workflow remains but is not part of any export","LOW"
".github/workflows/todo.yml","ci","KEEP","ds-projects-portfolio","yes","tools/todo_inbox.py","Keep unless TODO automation retired","KEEP_CURRENT_HISTORY","Root automation","LOW"
"archive/internal","archive","ARCHIVE","archive / reference","yes","deployment platform configs/code","Do not promote","KEEP_CURRENT_HISTORY","Internal legacy infrastructure","LOW"
"archive/legacy","archive","ARCHIVE","archive / reference","yes","legacy projects/datasets","Use only as manual source material","KEEP_CURRENT_HISTORY","Historical material","LOW"
"archive/runtime","generated archive","DELETE_GENERATED","generated cleanup","yes until approved","runtime notebook artifacts","Remove only with explicit cleanup approval","NO_HISTORY","Generated runtime outputs","LOW"
"archive/quality-reports","archive","ARCHIVE","archive / reference","yes","old mypy reports","Do not promote","KEEP_CURRENT_HISTORY","Historical quality reports","LOW"
"artifacts/genai","artifact group","DELETE_GENERATED","generated cleanup","yes until approved","src/genai notebooks","Regenerate in export; remove root copy only with approval","NO_HISTORY","Generated predictions/vector/audit artifacts","MEDIUM"
"artifacts/medical_imaging/model.pt","model artifact","DELETE_GENERATED","generated cleanup","yes until approved","medical imaging notebook","Externalize or regenerate; remove only with approval","NO_HISTORY","42.71 MB generated model","HIGH"
"artifacts/recsys","artifact group","DELETE_GENERATED","generated cleanup","yes until approved","recommender notebook","Regenerate/externalize; remove only with approval","NO_HISTORY","Generated model artifacts","LOW"
"artifacts/uplift","artifact group","DELETE_GENERATED","generated cleanup","yes until approved","uplift notebook","Regenerate/externalize; remove only with approval","NO_HISTORY","Generated artifacts","LOW"
"models/insurance_pricing_pipeline.pkl","model artifact","DELETE_GENERATED","generated cleanup","yes until approved","insurance notebook","Regenerate/externalize; remove only with approval","NO_HISTORY","Generated model artifact","LOW"
"local caches and virtualenvs","local/generated","DELETE_GENERATED","generated cleanup","yes until approved","pytest/mypy/ruff/venv","Remove only as explicit cleanup task","NO_HISTORY","Local generated state","LOW"
